id,ra,dec,d,d_err,vr,vt,m_abs,bp-rp,l,b,pmra,pmdec
5.24E+17,10.73338105,64.47525487,2955.626,113.6265,-96.7746,-3.621114292,-5.331618391,-0.4664235,122.0155877,1.618636923,-0.4806672064,-0.2561098359
5.24E+17,10.86104051,64.54279165,2524.7263,64.4886,-61.195477,-12.43140071,-5.485666521,-0.4627505,122.0726877,1.684378688,-0.1763349815,-1.038497125
5.24E+17,10.85356973,63.25925261,2666.795,242.3577,-70.91927,-13.73033044,-2.410260161,-0.2321926,122.0294771,0.4015627278,-1.181842997,-0.1519146861
5.24E+17,10.56064168,63.45477837,2519.054,232.2701,-106.30728,-22.49019843,-4.759043387,-0.4625688,121.9047239,0.6013695679,-1.788077381,-1.199494594
5.24E+17,15.19521145,64.05389975,2846.1465,204.2337,-94.56726,-12.67526461,-2.449311254,-0.2187955,123.9538574,1.200689952,-1.901845288,0.6785167136
5.23E+17,15.3638119,63.80997955,2541.3018,424.1128,-63.230118,-6.364343329,-1.69278822,-0.2190478,124.0370775,0.9597270783,-0.8358459032,0.247323475
5.24E+17,10.59504784,63.88251367,2501.0415,295.2463,-64.025024,-4.854827013,-2.40187599,-0.215507,121.9351357,1.028295433,-0.8155357512,-0.05849970599
5.24E+17,14.59759261,64.32805823,2727.8835,150.7585,-66.80532,-4.724194696,-2.174338095,-0.216438,123.6850541,1.466475433,-1.880580604,0.3374152002
5.24E+17,13.71264296,64.56440955,2575.8333,180.366,-125.28565,-2.459390826,-1.746913767,-0.2167967,123.2984996,1.695088602,-1.192577979,-0.0606958619
5.24E+17,11.12401777,64.14100965,2709.4795,72.2424,-87.12441,-13.30165204,-3.027174347,-0.2603973,122.1748896,1.279463869,-2.643741473,-0.7778623356
4.31E+17,9.872569882,63.20807714,2738.2783,183.8679,-70.5235,-16.69551549,-1.762767424,-0.2255165,121.5860234,0.3675536247,-1.071486075,-0.813313337
5.23E+17,15.88429351,63.00916963,2757.1033,406.6146,-82.259476,-20.22355445,-1.96877719,-0.2308975,124.3042249,0.169662954,-1.069482397,1.134239982
5.24E+17,11.46085135,64.82084533,2581.612,178.7432,-51.341576,-9.212585247,-1.644706856,-0.2437726,122.336575,1.955562517,-1.727141303,-0.2735173591
5.24E+17,11.95367663,65.12873871,2658.663,171.0666,-36.76896,-13.57842028,-2.679348458,-0.2293045,122.5506731,2.259670821,-1.131737433,-0.7722216589
5.25E+17,13.133911,65.19951833,2857.1426,246.3486,-40.71053,-15.12812944,-2.115919583,-0.2361572,123.0471275,2.328013888,-1.5242862,0.2438045261
5.24E+17,13.97512732,65.23968824,2889.523,162.469,-80.67147,-13.51706894,-2.459410779,-0.2236046,123.3995553,2.371990286,-1.183261403,-0.4491833737
5.24E+17,14.67340377,63.63966136,2530.2292,226.7847,0,0,-0.00724331692,-0.257201,123.7372959,0.7792580912,-0.979832824,0.448681598
5.24E+17,10.56752226,63.34073695,2608.2068,223.426,0,0,-0.8877421142,-0.2277843,121.9037378,0.4872907947,-1.793355417,-0.4475934541
5.24E+17,12.67950291,63.67665129,2674.351,173.1565,0,0,-0.01399003213,-0.214226,122.8521038,0.8050128563,-0.7554440323,-0.4757481067
5.24E+17,14.91452971,64.16244489,2685.6711,116.7037,0,0,-1.655055129,-0.2418952,123.8276309,1.304992036,-0.6238375249,-0.06386433325
5.24E+17,11.77845188,63.01242981,2687.0618,441.4414,0,0,-0.01263227465,-0.2482046,122.441374,0.1447984672,-0.5057871014,-0.6523196304
5.24E+17,12.03642065,63.82153032,2803.0195,169.698,0,0,-0.9623875953,-0.246225,122.5687719,0.9521017278,-0.5541330954,-0.4007789544
5.24E+17,11.01094144,63.95963053,2640.4595,483.8534,0,0,-0.5160985528,-0.2361434,122.1203678,1.099532487,-2.353602363,0.4403128067
4.28E+17,10.51805973,62.98451848,2587.2974,932.3458,0,0,-0.3761117604,-0.2497518,121.8686059,0.1321063116,-1.622369677,-0.3604747467