designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,l,b,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 2012837595810362624,2012837595810362624,356.0224702,61.46405618,0.2449745199,-3.815616255,-1.230984616,0.90151626,11.3946905,0.9176779,,NOT_AVAILABLE,114.9782953,-0.3633195337,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,
Gaia DR3 2010254911712961280,2010254911712961280,345.9033188,58.30972703,0.3425374231,-4.002408038,-3.606320659,0.92769897,9.624811,0.65837765,,VARIABLE,109.1496,-1.647035879,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,19771.217,3.293,0.2683,2531.7993,1.9421,1.824,0.996
Gaia DR3 2010706085132030080,2010706085132030080,348.5146535,59.37471267,0.300512676,-3.268453524,-2.838037294,0.9174664,8.465278,1.4490366,,NOT_AVAILABLE,110.8070905,-1.185130409,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,
Gaia DR3 2012017497567193856,2012017497567193856,352.0807242,59.5694705,0.2847089897,-2.900512854,-2.33724581,1.221333,9.253274,2.0341263,-65.319176,NOT_AVAILABLE,112.5763935,-1.620783989,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,
Gaia DR3 2012090855609451648,2012090855609451648,352.520607,59.84710472,0.3382100001,-5.397938784,-4.176734364,0.9491776,9.328344,1.6395578,,NOT_AVAILABLE,112.8740545,-1.426438413,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,
Gaia DR3 2207517777453003904,2207517777453003904,349.6370781,63.50142235,0.3562204875,-3.417083053,-1.821532938,0.9836382,7.907915,1.6299868,,NOT_AVAILABLE,112.7897258,2.473737448,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,
Gaia DR3 2207793892311474688,2207793892311474688,349.3397758,64.12115392,0.3979947536,-6.738241753,-0.7222199822,0.88491017,8.209055,1.0109701,,VARIABLE,112.8861552,3.099839658,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,,,,
Gaia DR3 2014921685733241600,2014921685733241600,347.3952616,61.46578339,0.8153775322,-2.482258131,-1.428682938,1.8004589,9.209044,1.1252003,,NOT_AVAILABLE,111.0785586,0.9605322248,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,6168.4414,2.5407,-1.1205,987.6784,0.8142,0.6839,0.3733
Gaia DR3 2015460652590925440,2015460652590925440,351.771748,61.37769224,1,,,,19.760893,,,NOT_AVAILABLE,113.0071234,0.1419836177,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 2015460652598301696,2015460652598301696,351.7736972,61.3784439,0.3014181867,-3.584685563,-2.220913363,0.9543344,8.586982,1.0467715,-68.84835,NOT_AVAILABLE,113.0082487,0.1423967189,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,
Gaia DR3 2015468658418137984,2015468658418137984,352.1823399,61.3070653,0.3142287416,-3.745967665,-1.942900095,0.91685015,9.928419,0.68834305,-66.82625,NOT_AVAILABLE,113.1714562,0.0125381477,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,
Gaia DR3 2014973362780230912,2014973362780230912,349.2640813,61.88570801,0.3658900247,-4.492575021,-1.313564757,3.5871642,9.771523,1.4122438,,NOT_AVAILABLE,112.0577563,1.02303544,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,
Gaia DR3 2015364578459784064,2015364578459784064,351.3520656,60.65012897,1,,,,10.857416,0.990325,,NOT_AVAILABLE,112.5794745,-0.4807716491,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 2015372897812944128,2015372897812944128,351.9931804,60.84657547,0.1204058808,-2.135514686,-0.6745126606,1.0134181,16.781908,1.844593,,NOT_AVAILABLE,112.9393012,-0.3955362594,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,
Gaia DR3 2015372897824806912,2015372897824806912,351.9909141,60.84714481,0.2450471526,-2.100137483,-1.211364272,1.0284579,8.418409,1.6461067,-68.769485,NOT_AVAILABLE,112.9384347,-0.3946462871,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,
Gaia DR3 2015398633269553536,2015398633269553536,352.3531111,60.96733712,0.2443519059,-3.259170909,-1.902478618,0.8631842,11.234474,0.97563267,,NOT_AVAILABLE,113.1434065,-0.3359206692,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,
Gaia DR3 2015416019296955392,2015416019296955392,352.3272354,61.14751158,0.3291021542,-3.421565014,-2.052319957,0.8661083,10.102795,0.76643753,,NOT_AVAILABLE,113.1877178,-0.1608315834,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,
Gaia DR3 2015416019297685248,2015416019297685248,352.3269101,61.14623054,-1.694520802,8.098172904,1.182292962,1.1540103,20.387312,,,NOT_AVAILABLE,113.1871688,-0.1619996147,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 2015790162481164416,2015790162481164416,353.2459189,62.21530013,0.3667038034,-4.205463968,-1.356875703,0.9153938,9.059186,1.6310883,-49.28177,NOT_AVAILABLE,113.9288567,0.7227776818,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,
Gaia DR3 2014848735709924864,2014848735709924864,348.1798109,61.23164772,0.3219486916,-4.27292514,-1.855279544,1.0118259,10.003195,0.712286,,NOT_AVAILABLE,111.3386634,0.6018114579,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,
Gaia DR3 2014848740009784832,2014848740009784832,348.1776515,61.2313103,0.4487276255,-4.371534118,-1.928940829,1.1512722,16.970737,1.0706444,,NOT_AVAILABLE,111.3375731,0.6018844471,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,
Gaia DR3 2013886014506640128,2013886014506640128,349.3639084,60.24986215,0.3494992522,-3.528144017,-2.287271629,1.2394353,9.77312,0.56927395,,VARIABLE,111.5212567,-0.523093091,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,,,,
Gaia DR3 2014149897293278848,2014149897293278848,350.1854483,61.19459355,0.3340638498,-2.662478919,0.3883155924,1.0438436,8.5150175,0.6623497,,NOT_AVAILABLE,112.2274386,0.2220330715,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,
Gaia DR3 2013677725760468224,2013677725760468224,347.1873052,59.12109897,-0.0161651773,-3.634985132,-3.134974505,1.0716118,18.534185,1.0762444,,NOT_AVAILABLE,110.0827001,-1.164681378,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 2013677725766711424,2013677725766711424,347.1872911,59.11974619,0.3016116929,-3.540118151,-3.073858368,1.029606,10.024534,1.0307446,,NOT_AVAILABLE,110.0821716,-1.16592673,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,6267.297,1.7132,-1.4704,4732.4004,0.993,0.8357,0.4569
Gaia DR3 2013933392281648128,2013933392281648128,350.4507274,60.84709519,0.3521423419,-4.138976306,-1.879981455,0.83986354,9.550358,0.43238258,-59.537968,NOT_AVAILABLE,112.2296934,-0.1484642166,0,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,18569.502,3.3512,0.1895,2429.8455,1.4483,1.383,0.7522
Gaia DR3 2013933396586715776,2013933396586715776,350.4485579,60.8467432,1,,,,19.38794,0.31099796,,NOT_AVAILABLE,112.2285798,-0.1484367558,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Gaia DR3 2013999951393132800,2013999951393132800,348.5470761,60.38632313,0.8163792244,-1.740971448,-1.498442113,1.0114336,10.107133,1.0751181,,NOT_AVAILABLE,111.1931996,-0.2499476095,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,
Gaia DR3 2014060802491139200,2014060802491139200,347.8117008,60.57269377,0.3183172869,-3.520903633,-2.327788131,1.1587296,9.355996,1.2217436,-48.48029,VARIABLE,110.9260618,0.05772614558,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,,,,